cep,erro
72001680,CEP inv?lido ou n?o encontrado
72001700,CEP inv?lido ou n?o encontrado
72001710,CEP inv?lido ou n?o encontrado
72001815,CEP inv?lido ou n?o encontrado
72001845,CEP inv?lido ou n?o encontrado
72001850,CEP inv?lido ou n?o encontrado
72001880,CEP inv?lido ou n?o encontrado
72001886,CEP inv?lido ou n?o encontrado
72002020,CEP inv?lido ou n?o encontrado
72002180,CEP inv?lido ou n?o encontrado
72002195,CEP inv?lido ou n?o encontrado
72002200,CEP inv?lido ou n?o encontrado
72002215,CEP inv?lido ou n?o encontrado
72002225,CEP inv?lido ou n?o encontrado
72002230,CEP inv?lido ou n?o encontrado
72002235,CEP inv?lido ou n?o encontrado
72002240,CEP inv?lido ou n?o encontrado
72002250,CEP inv?lido ou n?o encontrado
72002290,CEP inv?lido ou n?o encontrado
72002295,CEP inv?lido ou n?o encontrado
72002320,CEP inv?lido ou n?o encontrado
72002400,CEP inv?lido ou n?o encontrado
72002450,CEP inv?lido ou n?o encontrado
72002480,CEP inv?lido ou n?o encontrado
72005105,CEP inv?lido ou n?o encontrado
72005115,CEP inv?lido ou n?o encontrado
72005130,CEP inv?lido ou n?o encontrado
72005175,CEP inv?lido ou n?o encontrado
72005215,CEP inv?lido ou n?o encontrado
72005220,CEP inv?lido ou n?o encontrado
72005265,CEP inv?lido ou n?o encontrado
72005275,CEP inv?lido ou n?o encontrado
75644970,CEP inv?lido ou n?o encontrado
76801982,CEP inv?lido ou n?o encontrado
78149341,CEP inv?lido ou n?o encontrado
78437000,CEP inv?lido ou n?o encontrado
83980972,CEP inv?lido ou n?o encontrado
85035070,CEP inv?lido ou n?o encontrado
85813464,CEP inv?lido ou n?o encontrado
85859080,CEP inv?lido ou n?o encontrado
85861550,CEP inv?lido ou n?o encontrado
85864420,CEP inv?lido ou n?o encontrado
85867580,CEP inv?lido ou n?o encontrado
88350600,CEP inv?lido ou n?o encontrado
88355991,CEP inv?lido ou n?o encontrado
